frame,x,y,time
143,257.0,155.0,4.799999999999993
144,264.0,149.0,4.833333333333326
145,268.0,144.0,4.866666666666659
146,270.0,144.0,4.899999999999992
147,269.0,144.0,4.933333333333326
148,269.0,146.0,4.966666666666659
149,269.0,147.0,4.999999999999992
150,269.0,148.0,5.033333333333325
151,269.0,149.0,5.066666666666658
152,268.0,149.0,5.099999999999992
153,269.0,150.0,5.133333333333325
154,269.0,152.0,5.166666666666658
155,268.0,152.0,5.199999999999991
156,268.0,154.0,5.2333333333333245
157,268.0,155.0,5.266666666666658
158,268.0,156.0,5.299999999999991
159,268.0,158.0,5.333333333333324
160,269.0,155.0,5.366666666666657
161,272.0,146.0,5.399999999999991
162,273.0,132.0,5.433333333333324
163,269.0,115.0,5.466666666666657
164,260.0,98.0,5.49999999999999
165,243.0,86.0,5.5333333333333234
166,232.0,80.0,5.566666666666657
167,222.0,78.0,5.59999999999999
168,212.0,80.0,5.633333333333323
169,201.0,80.0,5.666666666666656
170,193.0,84.0,5.6999999999999895
171,186.0,87.0,5.733333333333323
172,182.0,91.0,5.766666666666656
173,178.0,92.0,5.799999999999989
174,175.0,96.0,5.833333333333322
175,172.0,102.0,5.866666666666656
176,170.0,106.0,5.899999999999989
177,168.0,111.0,5.933333333333322
178,166.0,118.0,5.966666666666655
179,164.0,125.0,5.9999999999999885
180,164.0,132.0,6.033333333333322
181,164.0,139.0,6.066666666666655
182,166.0,146.0,6.099999999999988
183,168.0,152.0,6.133333333333321
184,171.0,159.0,6.1666666666666545
185,176.0,166.0,6.199999999999988
186,181.0,172.0,6.233333333333321
187,190.0,179.0,6.266666666666654
188,197.0,183.0,6.299999999999987
189,197.0,184.0,6.333333333333321
190,197.0,184.0,6.366666666666654
191,197.0,184.0,6.399999999999987
192,197.0,184.0,6.43333333333332
193,197.0,185.0,6.4666666666666535
194,197.0,185.0,6.499999999999987
195,196.0,184.0,6.53333333333332
196,196.0,184.0,6.566666666666653
197,196.0,184.0,6.599999999999986
198,196.0,184.0,6.6333333333333195
199,196.0,185.0,6.666666666666653
200,196.0,186.0,6.699999999999986
201,196.0,186.0,6.733333333333319
202,196.0,186.0,6.766666666666652
203,196.0,187.0,6.799999999999986
204,196.0,187.0,6.833333333333319
205,198.0,188.0,6.866666666666652
206,208.0,191.0,6.899999999999985
207,223.0,193.0,6.9333333333333185
208,236.0,190.0,6.966666666666652
209,249.0,184.0,6.999999999999985
210,258.0,176.0,7.033333333333318
211,262.0,173.0,7.066666666666651
212,265.0,169.0,7.0999999999999845
213,268.0,163.0,7.133333333333318
214,271.0,156.0,7.166666666666651
215,272.0,147.0,7.199999999999984
216,272.0,135.0,7.233333333333317
217,268.0,122.0,7.266666666666651
218,261.0,110.0,7.299999999999984
219,251.0,100.0,7.333333333333317
220,241.0,94.0,7.36666666666665
221,234.0,91.0,7.3999999999999835
222,227.0,90.0,7.433333333333317
223,219.0,89.0,7.46666666666665
224,210.0,89.0,7.499999999999983
225,203.0,91.0,7.533333333333316
226,196.0,94.0,7.5666666666666496
227,190.0,97.0,7.599999999999983
228,184.0,101.0,7.633333333333316
229,178.0,106.0,7.666666666666649
230,173.0,113.0,7.699999999999982
231,169.0,121.0,7.733333333333316
232,164.0,135.0,7.766666666666649
233,163.0,146.0,7.799999999999982
234,164.0,147.0,7.833333333333315
235,164.0,148.0,7.8666666666666485
236,164.0,148.0,7.899999999999982
237,164.0,149.0,7.933333333333315
