,x,y,t,theta,rpms
0,527,358,0.03333333333333334,181.71835800165545,0.0
1,527,358,0.06666666666666668,181.71835800165545,0.0
2,527,358,0.1,181.71835800165545,0.0
3,527,358,0.13333333333333336,181.71835800165545,0.0
4,527,358,0.16666666666666669,181.71835800165545,0.0
5,527,358,0.2,181.71835800165545,0.0
6,527,358,0.23333333333333334,181.71835800165545,3.7169022226669526
7,526,357,0.26666666666666666,182.26795453590583,3.7169022226669526
8,527,358,0.3,181.71835800165545,0.0
9,527,358,0.3333333333333333,181.71835800165545,5.87693843188495
10,526,356,0.36666666666666664,182.8341110163065,5.87693843188495
11,527,358,0.39999999999999997,181.71835800165545,0.0
12,527,358,0.4333333333333333,181.71835800165545,2.6282467666551534
13,528,358,0.4666666666666666,181.73570458892837,3.7169022226669526
14,527,357,0.49999999999999994,182.29061004263852,2.628246766655149
15,526,357,0.5333333333333333,182.26795453590583,2.6282467666551534
16,526,356,0.5666666666666667,182.8341110163065,3.7169022226669526
17,527,357,0.6,182.29061004263852,2.6282467666551534
18,526,357,0.6333333333333333,182.26795453590583,5.256493533310307
19,526,355,0.6666666666666666,183.39971415912325,8.311246035603366
20,527,352,0.7,185.14276455788422,15.76948059993092
21,527,346,0.7333333333333333,188.53076560994813,13.141233833275768
22,530,342,0.7666666666666666,191.08256946302964,11.7538768637699
23,532,338,0.7999999999999999,193.6097318958122,21.18960285890612
24,533,330,0.8333333333333333,198.25189583707854,20.016131041066092
25,536,323,0.8666666666666666,202.6645574346961,21.673078058214575
26,538,315,0.8999999999999999,207.33235949216768,20.527263457471122
27,544,310,0.9333333333333332,211.56897112931833,24.79483040701349
28,549,302,0.9666666666666666,217.10423490570622,24.79483040701349
29,554,294,0.9999999999999999,222.54596832547293,33.45212000400257
30,563,285,1.0333333333333332,229.89909245378774,37.35440503367053
31,574,276,1.0666666666666667,238.05524722379658,47.01550745507944
32,590,268,1.1,248.30489053920311,47.3813924087378
33,607,262,1.1333333333333335,258.5788137250007,48.46247581982678
34,625,258,1.166666666666667,268.8876003837022,55.255723969227695
35,646,257,1.2000000000000004,280.35332004392944,56.18549855042654
36,667,261,1.2333333333333338,291.8014094863518,64.64632275073423
37,689,272,1.2666666666666673,304.86219614691487,59.062500273428796
38,708,284,1.3000000000000007,316.45021629093344,65.07233278224751
39,725,302,1.3333333333333341,328.9503428133774,59.99084793209468
40,736,322,1.3666666666666676,340.31288380187414,64.91290665595145
41,745,345,1.400000000000001,352.278174199869,71.39936013038015
42,748,372,1.4333333333333345,5.194428907734789,66.5418932972582
43,744,397,1.466666666666668,17.10272896905235,64.64632275073423
44,733,419,1.5000000000000013,28.686147573739447,65.28429533960903
45,717,438,1.5333333333333348,40.548825997113454,74.43090900479078
46,696,457,1.5666666666666682,54.29330859939711,73.30877075551768
47,669,464,1.6000000000000016,67.81598665473001,74.75502647143185
48,641,469,1.633333333333335,82.61395684873276,76.62590232074423
49,612,466,1.6666666666666685,98.13010235415595,71.49604177267847
50,586,458,1.700000000000002,112.91282839677166,70.52326118261917
51,562,446,1.7333333333333354,127.40535663140855,68.9883486885466
52,542,429,1.7666666666666688,141.34019174590992,68.53629057057722
53,528,407,1.8000000000000023,155.07822947741477,70.76770996128168
54,518,382,1.8333333333333357,169.09497795476557,74.0121009408701
55,515,354,1.8666666666666691,183.57633437499734,81.64503799440637
56,513,323,1.9000000000000026,198.434948822922,69.43746383884125
57,526,300,1.933333333333336,211.13031356149497,74.33804445333881
58,546,280,1.9666666666666694,225.0,69.38770570716414
59,567,264,2.0000000000000027,238.26085920418484,79.80527515929954
60,596,255,2.033333333333336,253.69829165569263,76.9407738064373
61,625,251,2.066666666666669,268.95837332399003,77.34372504302627
62,654,256,2.1000000000000023,284.420773127511,75.67342733135071
63,681,266,2.1333333333333355,299.6148116463464,62.69346478541887
64,701,279,2.1666666666666687,312.06432655357884,74.43090900479126
65,720,300,2.200000000000002,326.7385712067223,63.51445302289121
66,730,322,2.233333333333335,339.26129085247777,66.54189329725864
67,734,347,2.2666666666666684,352.54570118725155,73.59090946634454
68,734,375,2.3000000000000016,7.454298812748448,74.80121432043053
69,725,402,2.333333333333335,22.702842123212804,71.7853054291702
70,714,427,2.366666666666668,37.184706453233105,70.71888780303122
71,696,447,2.4000000000000012,51.259036305122265,72.88351487193258
72,671,459,2.4333333333333345,65.82089285331085,70.76770996128215
73,645,466,2.4666666666666677,80.27242144859838,70.96266269968937
74,618,466,2.500000000000001,94.89909245378777,66.17756263355972
75,593,463,2.533333333333334,108.43494882292202,63.51445302289121
76,571,453,2.5666666666666673,121.3286928678042,66.33394937223336
77,550,439,2.6000000000000005,134.630354938153,69.38770570716414
78,534,418,2.6333333333333337,148.49573328079583,69.38770570716414
79,523,394,2.666666666666667,162.39536666333606,70.1303708766788
80,517,368,2.7,176.35881474209873,73.77840253319023
81,515,340,2.7333333333333334,190.61965527615513,67.57201480577902
82,521,315,2.7666666666666666,203.45902408146156,65.70616916637906
83,536,295,2.8,215.9524280000993,66.90424000800537
84,554,277,2.833333333333333,229.00780454237233,66.33394937223336
85,575,263,2.8666666666666663,242.04903097210982,69.83425257638201
86,600,254,2.8999999999999995,255.83783194468725,65.91609356436828
87,625,252,2.9333333333333327,268.94881925045627,65.758713092542
88,650,253,2.966666666666666,282.02227668618355,72.31261693017352
89,676,262,2.999999999999999,296.33308572577977,67.16186221644658
90,698,275,3.0333333333333323,309.5424465148954,65.07233278224795
91,715,293,3.0666666666666655,322.30575953331083,61.30072185659581
92,727,313,3.0999999999999988,334.3589941756947,61.525679390035634
93,735,335,3.133333333333332,346.46414363086575,55.255723969228065
94,734,356,3.166666666666665,357.3245733439708,63.296564034166344
95,732,380,3.1999999999999984,10.25681984169637,64.91290665595187
96,723,403,3.2333333333333316,23.629377730656813,64.91290665595187
97,710,424,3.266666666666665,37.199812115818304,65.28429533960947
98,694,443,3.299999999999998,50.74866341728779,62.69346478541887
99,674,456,3.3333333333333313,63.67670173219011,63.51445302289121
100,652,466,3.3666666666666645,76.60750224624888,60.96172909080846
101,629,469,3.3999999999999977,88.93908830973578,60.506784456039775
102,606,468,3.433333333333331,101.10383343663608,64.00199115961124
103,583,460,3.466666666666664,113.9624889745782,59.99084793209508
104,563,449,3.4999999999999973,126.0273733851036,70.71888780303122
105,543,431,3.5333333333333306,140.19442890773485,61.30072185659581
106,531,411,3.5666666666666638,152.48799737614854,65.9160935643683
107,521,388,3.599999999999997,165.70967491818237,63.94800381034986
108,517,364,3.63333333333333,178.4377750831576,68.38494046188352
109,516,338,3.6666666666666634,191.70643672915332,63.1873377853384
110,523,315,3.6999999999999966,203.86017519134234,64.91290665595187
111,536,294,3.73333333333333,216.36286858492923,59.47043556267145
112,552,278,3.766666666666663,227.8985767992817,66.33394937223336
113,573,264,3.7999999999999963,240.8952683725813,63.51445302289121
114,595,254,3.8333333333333295,253.34989450139696,59.29594980109988
115,617,249,3.8666666666666627,264.8978347476418,63.077922399723874
116,641,249,3.899999999999996,277.1250163489018,65.70616916637904
117,665,256,3.933333333333329,289.89543133476565,70.52326118261963
118,689,268,3.9666666666666623,303.69006752597977,68.78780073898874
119,708,286,3.9999999999999956,317.2025981617658,62.028850980840815
120,722,305,4.033333333333329,329.4817693211248,61.13146045155819
121,732,326,4.066666666666662,341.565051177078,60.506784456039775
122,733,349,4.099999999999995,353.54118362128133,60.506784456039775
123,732,372,4.133333333333328,5.980599524763477,66.17756263355972
124,729,397,4.166666666666662,19.44003482817618,65.86367519141429
125,717,419,4.199999999999995,32.79953127261922,59.58647554728105
126,702,436,4.233333333333328,45.0,67.82710070646236
127,681,451,4.266666666666661,59.03624346792651,63.56880857671856
128,660,463,4.2999999999999945,72.07208023799274,58.17872224922376
129,639,470,4.333333333333328,83.7175079118386,57.88113092554565
130,617,471,4.366666666666661,95.19442890773479,67.57201480577902
131,592,465,4.399999999999994,108.60006588603312,67.16186221644658
132,570,452,4.433333333333327,122.06194368281353,62.69346478541887
133,550,439,4.466666666666661,134.630354938153,67.31596229409674
